max_vertex_degree,min_vertex_degree,y_train,y_pred,prob_class_0,prob_class_1
109110,12932,True,True,0.005270569347755941,0.9947294306522442
65667,12367,True,True,0.20603004192632032,0.7939699580736796
1480,448,True,True,0.006741599485206534,0.9932584005147935
17562,3430,True,False,0.45606082797359704,0.5439391720264029
207000,23908,False,False,0.6800635594659528,0.3199364405340472
21522,5538,True,True,0.10996456041578397,0.8900354395842159
3719,1169,True,True,0.08110229036967692,0.9188977096303232
40601,6479,True,True,0.09163666063276046,0.9083633393672395
478,184,True,True,0.08306544196760257,0.9169345580323973
109062,12916,True,True,1.77749587389841e-05,0.999982225041261
13300,2142,False,False,0.7077874157460706,0.2922125842539294
478,184,True,True,0.08159012296043602,0.918409877039564
884836,69920,True,True,1.2825290828473088e-08,0.9999999871747091
20896,5494,True,True,0.1012596809632521,0.8987403190367479
17588,3440,True,True,0.14970272957381348,0.8502972704261866
3164,894,True,True,0.004023980267147403,0.9959760197328525
495606,57348,True,True,0.06775090700277515,0.9322490929972249
37500,7178,True,True,0.060625254925882326,0.9393747450741178
109064,12924,True,True,1.5685717913240642e-05,0.9999843142820868
884628,69920,True,True,3.135698428107564e-09,0.9999999968643016
855794,72594,True,True,0.010562081129819585,0.9894379188701804
38690,8298,True,True,0.019822071830763826,0.9801779281692362
177504,25414,False,False,0.5214857301629457,0.47851426983705436
40240,5618,False,False,0.680270653896975,0.31972934610302506
29772,4834,False,True,0.12056569136278508,0.879434308637215
109114,12932,True,True,0.006285233002813341,0.9937147669971867
77423,16003,True,True,0.06638141479610724,0.933618585203893
109094,12930,True,True,0.002906808089218845,0.9970931919107809
17426,3362,False,False,0.5775773502756717,0.42242264972432825
37712,7212,True,True,0.03670078182939551,0.9632992181706045
32651,5029,False,False,0.46114701536861136,0.5388529846313888
109040,12910,True,True,1.1982136260312187e-05,0.9999880178637396
884402,69896,True,True,2.0451414326045574e-09,0.9999999979548585
109118,12924,True,True,0.005809753921396638,0.9941902460786035
1480,448,True,True,0.04591809398988977,0.9540819060101104
113251,17541,True,True,0.05792262149846983,0.9420773785015302
3719,1169,True,True,0.09672574809689659,0.9032742519031036
396546,48182,True,True,0.12190873141547602,0.8780912685845239
17596,3438,True,True,0.10991549607241415,0.8900845039275859
73986,8374,False,False,0.9241620611529732,0.07583793884702689
109110,12932,True,True,0.003213182783696061,0.9967868172163041
209676,29512,True,True,0.03870091942546367,0.9612990805745365
16920,3138,False,False,0.6800508851388849,0.3199491148611151
1480,448,True,True,3.773150484672683e-06,0.9999962268495153
3719,1169,True,True,0.1090234228686607,0.8909765771313393
273724,35286,True,True,0.11003828986715307,0.889961710132847
884820,69924,True,True,1.9456002221058423e-08,0.9999999805439977
17580,3434,False,False,0.4399538994659198,0.5600461005340802
43828,6310,False,False,0.7525739488558225,0.24742605114417754
1480,448,True,True,4.843078666761126e-07,0.9999995156921333
3719,1169,True,True,0.06805509093758534,0.9319449090624146
478,184,True,True,0.08567891026274639,0.9143210897372535
3917,773,True,True,0.08137942021098934,0.9186205797890108
17558,3422,False,False,0.5223279584947939,0.47767204150520604
109062,12916,True,True,6.572852615269008e-06,0.9999934271473847
884834,69940,True,True,2.6535459825384193e-09,0.9999999973464541
37234,7198,True,True,0.05944102382472774,0.9405589761752724
20742,5500,True,True,0.09505334555946027,0.9049466544405397
930032,51790,False,False,0.680298812135973,0.31970118786402685
153194,29108,True,True,0.02433667578461279,0.9756633242153872
47186,7084,True,False,0.8264387317584905,0.17356126824150964
109114,12932,True,True,0.004163521670086481,0.9958364783299135
109094,12930,True,True,0.00439097139494091,0.9956090286050592
3719,1169,True,True,0.10998882695938278,0.8900111730406173
463916,49900,True,True,0.05302757626613665,0.9469724237338636
117099,17793,True,True,0.03700359702369448,0.9629964029763055
109064,12924,True,True,0.003740218309102338,0.9962597816908978
52331,8539,False,False,0.4654128263951552,0.534587173604845
8107,1361,True,True,0.0042220204752582945,0.9957779795247416
108070,14458,True,False,0.4413443179000242,0.5586556820999758
3164,894,True,True,0.0066303265508635195,0.9933696734491366
884544,69916,True,True,1.7069497989593177e-07,0.9999998293050201
478,184,True,True,0.09643770619524696,0.9035622938047533
56038,9632,True,True,0.3364477586967778,0.6635522413032224
314889,30495,True,True,0.08444247254243914,0.9155575274575608
42746,6138,False,False,0.7899555858137307,0.21004441418626915
21150,5534,True,True,0.11001209836054293,0.8899879016394571
29620,4934,False,False,0.4276568262514673,0.5723431737485326
478,184,True,True,0.0468730915927032,0.9531269084072969
109118,12924,True,True,0.0036177160772734025,0.9963822839227269
884794,69932,True,True,3.10176247875306e-08,0.9999999689823752
1480,448,True,True,0.0028088403061789914,0.997191159693821
109040,12910,True,True,0.003270982553869705,0.9967290174461304
46962,7014,True,True,0.2623465552394407,0.7376534447605592
33112,4400,True,False,0.5760790716858255,0.4239209283141745
478,184,True,True,0.06688550026410967,0.9331144997358901
