max_vertex_degree,min_vertex_degree,Y_train,Y_predicted,prob_class_0,prob_class_1
25,9,True,True,0.06945415306564749,0.9305458469343524
7,5,True,True,0.04787022574653715,0.9521297742534629
7305,2251,True,True,0.04402711385604248,0.9559728861439573
958474,83824,True,True,0.034169866324456545,0.9658301336755434
196386,27630,True,True,0.05333650239534707,0.946663497604653
25,9,True,True,0.07030601135614045,0.9296939886438595
482802,55964,True,True,0.07261507298229943,0.9273849270177006
5264,2224,True,True,0.02771461801518206,0.972285381984818
25,9,True,True,0.0704518163303054,0.9295481836696947
5264,2224,False,False,0.9997171780311401,0.00028282196885983773
3452280,240080,True,True,0.032403015856845394,0.9675969841431546
76115,14107,True,True,0.053338031023220614,0.9466619689767793
25,9,True,True,0.06568502489185786,0.9343149751081419
51953,13871,True,True,0.05117558787928848,0.9488244121207116
3463664,240756,True,True,0.03657475631945898,0.9634252436805408
2102710,154334,False,False,0.5883033481165063,0.41169665188349375
121615,27047,True,False,0.49300880867227764,0.5069911913277224
2381479,186863,True,True,5.958682981151296e-08,0.9999999404131702
2907171,314251,False,False,0.5885192929834732,0.4114807070165267
7,5,True,True,0.05336031818248985,0.9466396818175101
7,5,True,True,0.05337920911565057,0.9466207908843494
25,9,True,True,0.026318478884592607,0.9736815211154076
121655,27057,True,True,0.052669743485127915,0.9473302565148721
1104160,94868,False,False,0.588513482279754,0.411486517720246
236798,33674,True,True,0.05142597043060062,0.9485740295693992
25,9,True,True,0.06219931601360832,0.9378006839863916
106854,24442,True,True,0.05103801886239129,0.9489619811376088
500396,56912,True,True,0.053334533022739446,0.9466654669772605
3633496,258654,True,True,0.05334648121747981,0.9466535187825201
919,529,True,True,0.017769919330388025,0.9822300806696118
165634,20078,True,True,0.04767587991876247,0.9523241200812375
25,9,True,True,0.053377188889513615,0.9466228111104863
202346,28910,True,True,0.04922920929332158,0.9507707907066782
7,5,True,True,0.051446164811580014,0.94855383518842
1888346,168520,False,False,0.8804383639680607,0.11956163603193933
2623197,187103,True,True,0.007328566268567368,0.9926714337314327
243876,30398,True,True,0.05015602497187403,0.9498439750281261
25,9,True,True,0.05902999599212132,0.9409700040078788
151840,29072,True,True,0.04533448310804573,0.9546655168919543
25,9,True,True,0.023138903367227806,0.9768610966327723
7,5,True,True,0.055828192805352624,0.9441718071946474
121655,27051,True,True,0.052582098655318356,0.9474179013446815
1970,644,True,True,0.023758060919092615,0.9762419390809075
567506,52412,True,True,0.17881426178421525,0.8211857382157849
302015,54941,True,True,0.04777376041489812,0.9522262395851018
25,9,True,True,0.047025336923959216,0.9529746630760407
25,9,False,True,0.06649271281474038,0.9335072871852595
17440,3872,True,True,0.05681310788504914,0.943186892114951
5264,2224,True,True,0.03645425869458532,0.9635457413054145
2866,1354,True,True,0.025684710518010453,0.9743152894819896
491736,51434,True,True,0.06353576348230207,0.9364642365176978
25,9,True,True,0.06311121026090133,0.9368887897390986
6824,1800,True,True,0.04289443017359661,0.9571055698264033
37357,10681,True,True,0.05067997708226615,0.9493200229177339
25,9,True,True,0.05737816337657034,0.9426218366234296
26089,8041,True,True,0.04880666019671268,0.9511933398032876
3077846,328252,True,True,0.015565104053325434,0.9844348959466748
155823,32827,True,True,0.05488562177476757,0.9451143782252326
5123739,285013,True,True,3.00000089999998e-14,0.9999999999999699
1305622,126394,False,False,0.8964427220828478,0.10355727791715208
125039,19287,True,True,0.05110094408614774,0.9488990559138524
1893060,170132,True,False,0.5099953646290238,0.49000463537097605
976149,75637,True,True,9.993816117061544e-06,0.999990006183883
132922,16632,True,True,0.04662537904897912,0.9533746209510209
121663,27059,True,True,0.05069380128986836,0.9493061987101317
508916,59908,True,True,0.05409634418304412,0.9459036558169558
136562,18828,True,True,0.047150080642716904,0.9528499193572831
5918863,303289,True,True,4.921571228405346e-14,0.9999999999999508
521436,61564,True,True,0.06730194086581692,0.932698059134183
523444,62080,True,True,0.055451910328169124,0.9445480896718308
121665,27057,True,True,0.052559505492009294,0.9474404945079904
1140,596,True,True,0.021083790294016237,0.978916209705984
88154,13732,False,True,0.06887575216831988,0.9311242478316801
253372,32956,True,True,0.05254215919185146,0.9474578408081484
25,9,True,True,0.043488955967505766,0.9565110440324944
5264,2224,False,False,0.9994368750211567,0.0005631249788431486
153172,25358,True,True,0.054642326348717206,0.9453576736512828
2992,924,True,True,0.04716264626825787,0.952837353731742
132752,18182,True,True,0.045426808241377035,0.954573191758623
731,409,True,True,0.01784346572677529,0.9821565342732247
25,9,True,True,0.031597585773884045,0.968402414226116
80,48,True,True,0.011399784284460793,0.9886002157155391
948168,82324,True,True,0.05333688456841058,0.9466631154315894
5264,2224,True,True,0.036889133481401326,0.9631108665185989
1822408,157754,False,False,0.5883950616363418,0.411604938363658
7479142,616494,True,True,3.00000089999998e-14,0.9999999999999699
121635,27025,True,True,0.05279184158742904,0.9472081584125708
25,9,True,True,0.04572565838854795,0.9542743416114519
25,9,True,True,0.06639295390920706,0.9336070460907929
13608,3496,True,True,0.039252219062095216,0.9607477809379046
