task_uuid,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,mean_edge_order,std_dev_edge_order,one_norm,log_fci_dim,n_elec,n_orbs,df_gap,embedding,embedded_component_1,embedded_component_2,Y,Y_predicted,prob_class_0,prob_class_1
f2f09d9f-8328-4d4a-ba91-089f9e56bf0d,21502,5474,17810.07143,4807.987803,48.54242077,1.12e-08,0.00791776,0.259548884,28,13.18078977,5.567881613,299.5605487,13.67856634,18,28,11.11634847,PCA,-0.43619158298135835,-0.2653726449757956,True,True,0.12321456742421633,0.8767854325757835
402d5237-16a3-4eb8-8bd4-5dcf2cb14c36,6824,1800,5561.545455,1530.947055,6.18810579,5.39e-08,0.019969144,0.199354945,22,10.63670347,4.193991718,229.7050655,5.551132701,6,22,10.05268601,PCA,-0.6240924340812288,-0.2110499708777932,True,True,0.12350353692526828,0.8764964630747317
4357d5bb-ed2b-466a-947b-e868afb81d3d,80,48,61.33333333,13.59738537,1.298465364,1.18e-07,0.072044692,0.182771188,6,3.376146789,1.269175784,7.852871466,2.352182518,8,6,2.702981826,PCA,-0.8488305675945258,-0.17940632432159154,True,True,0.22806361974521072,0.7719363802547893
b164af91-a758-445c-8e78-610ffd2ad795,919,529,809.0,154.1427909,1.582613625,2.62e-07,0.016236796,0.074151305,9,5.287581699,1.762622833,22.35806778,3.848558572,12,9,3.321663766,PCA,-0.7998882301405148,-0.1288772782506467,True,True,0.08330359896926362,0.9166964010307364
28bd4997-c04c-4914-9984-0101713041fe,5264,2224,4512.0,1052.94797,2.521499634,1.36e-07,0.008006071,0.064279681,14,7.451692816,2.71672862,67.86746275,5.122202767,22,14,3.277643789,PCA,-0.7373383172289365,-0.058460190139010104,True,True,0.05354458017871422,0.9464554198212858
dcf2b441-b297-4a89-ae18-5778ec2d674d,2866,1354,2476.0,544.8559443,0.80768613,4.73e-08,0.005826589,0.035669466,12,6.602666667,2.32883223,26.21965174,5.389210398,16,12,3.133517538,PCA,-0.7612453184355291,-0.07777669679158974,True,True,0.0722696852567595,0.9277303147432406
68db6781-dd54-43c4-b667-7b754c4d5cdb,37357,10681,31316.3913,8369.820931,1.386522429,1.28e-08,0.001877931,0.021223692,23,11.16431583,4.496936992,121.1565715,10.7788886,32,23,3.681105897,PCA,-0.6074344843640052,0.07753959417278206,True,True,0.09235337957846611,0.907646620421534
89253c8f-0f01-4046-a138-1bada22f0a6a,26089,8041,21949.0,5748.45122,1.252748249,1.06e-08,0.002253471,0.020716331,21,10.34842056,4.099166623,100.3718378,10.13101005,28,21,3.14282199,PCA,-0.6362319557504136,0.04973775842391642,True,True,0.08787499594993799,0.9121250040500619
be3812d3-5975-4736-8a23-96d64e50e66a,5264,2224,4512.0,1052.94797,32.65146424,5.9e-08,0.08494231,1.318381514,14,7.451692816,2.71672862,720.0559596,6.602928146,18,14,26.96172693,PCA,-0.6051238941023264,-0.4580363417901162,False,False,0.6723093046600124,0.3276906953399877
a41a284c-7baa-438e-9323-532091c7a78f,5264,2224,4512.0,1052.94797,71.60628485,2.73e-08,0.105603527,2.2100135,14,7.451692816,2.71672862,895.2010978,6.955110664,16,14,18.3316119,PCA,-0.5775625563519813,-0.6853967037493403,True,True,0.22360232584366999,0.77639767415633
