overlap,task_uuid
0.7085974535652702,be3812d3-5975-4736-8a23-96d64e50e66a
0.22513330252311292,0deae366-42de-4081-914d-db85c6b47168
0.9774145158534091,472bbfb1-c081-4df6-b966-32ce1194ab8c
0.9685316094601323,c9809448-2f3d-40d4-858d-6288a4703af4
0.9985372277228635,a41a284c-7baa-438e-9323-532091c7a78f
0.949143431782712,d28f02ba-d43f-4df9-a01a-f1e8ac326e08
0.9183533021847063,d3c058ec-9b13-4a9a-aba0-d3f19091c47b
0.8117853524308283,af56de36-35aa-44b9-8eb7-b9c1e8f7d0f3
0.9590201342647006,8f373cb0-952d-48c6-a871-8a10e52e7c19
0.9958029416443275,7cc1ed5c-0dcb-4315-9e51-2ae94b5cdd02
0.9951522181318971,0021e256-8e13-42db-839d-e9155e8af82c
